Fairmount Line,1,1,Readville,42.237750,-71.132376,Trunk
Fairmount Line,1,2,Fairmount,42.253638,-71.119270,Trunk
Fairmount Line,1,3,Morton Street,42.280994,-71.085475,Trunk
Fairmount Line,1,4,Uphams Corner,42.318670,-71.069072,Trunk
Fairmount Line,1,5,South Station,42.352614,-71.055364,Trunk
Fitchburg/South Acton Line,1,1,Fitchburg,42.581739,-71.792750,Trunk
Fitchburg/South Acton Line,1,2,North Leominster,42.540577,-71.739402,Trunk
Fitchburg/South Acton Line,1,3,Shirley,42.544726,-71.648363,Trunk
Fitchburg/South Acton Line,1,4,Ayer,42.560047,-71.590117,Trunk
Fitchburg/South Acton Line,1,5,Littleton / Rte 495,42.519236,-71.502643,Trunk
Fitchburg/South Acton Line,1,6,South Acton,42.461575,-71.455322,Trunk
Fitchburg/South Acton Line,1,7,West Concord,42.456372,-71.392371,Trunk
Fitchburg/South Acton Line,1,8,Concord,42.457147,-71.358051,Trunk
Fitchburg/South Acton Line,1,9,Lincoln,42.414229,-71.325344,Trunk
Fitchburg/South Acton Line,1,10,Silver Hill,42.395625,-71.302357,Trunk
Fitchburg/South Acton Line,1,11,Hastings,42.385755,-71.289203,Trunk
Fitchburg/South Acton Line,1,12,Kendal Green,42.378970,-71.282411,Trunk
Fitchburg/South Acton Line,1,13,Brandeis/ Roberts,42.361728,-71.260854,Trunk
Fitchburg/South Acton Line,1,14,Waltham,42.374424,-71.236595,Trunk
Fitchburg/South Acton Line,1,15,Waverley,42.387489,-71.189864,Trunk
Fitchburg/South Acton Line,1,16,Belmont,42.398420,-71.174499,Trunk
Fitchburg/South Acton Line,1,17,Porter Square,42.388353,-71.119159,Trunk
Fitchburg/South Acton Line,1,18,North Station,42.365551,-71.061251,Trunk
Framingham/Worcester Line,1,1,Worcester / Union Station,42.261796,-71.793881,Trunk
Framingham/Worcester Line,1,2,Grafton,42.246291,-71.684614,Trunk
Framingham/Worcester Line,1,3,Westborough,42.269184,-71.652005,Trunk
Framingham/Worcester Line,1,4,Southborough,42.267518,-71.523621,Trunk
Framingham/Worcester Line,1,5,Ashland,42.261694,-71.478813,Trunk
Framingham/Worcester Line,1,6,Framingham,42.276719,-71.416792,Trunk
Framingham/Worcester Line,1,7,West Natick,42.281855,-71.390548,Trunk
Framingham/Worcester Line,1,8,Natick,42.285239,-71.347641,Trunk
Framingham/Worcester Line,1,9,Wellesley Square,42.296427,-71.294311,Trunk
Framingham/Worcester Line,1,10,Wellesley Hills,42.310027,-71.276769,Trunk
Framingham/Worcester Line,1,11,Wellesley Farms,42.323608,-71.272288,Trunk
Framingham/Worcester Line,1,12,Auburndale,42.346087,-71.246658,Trunk
Framingham/Worcester Line,1,13,West Newton,42.348599,-71.229010,Trunk
Framingham/Worcester Line,1,14,Newtonville,42.351603,-71.207338,Trunk
Framingham/Worcester Line,1,15,Yawkey,42.346796,-71.098937,Trunk
Framingham/Worcester Line,1,16,Back Bay,42.347158,-71.075769,Trunk
Framingham/Worcester Line,1,17,South Station,42.352614,-71.055364,Trunk
Franklin Line,1,1,Forge Park / 495,42.090704,-71.430342,Trunk
Franklin Line,1,2,Franklin,42.083591,-71.396735,Trunk
Franklin Line,1,3,Norfolk,42.120694,-71.325217,Trunk
Franklin Line,1,4,Walpole,42.144192,-71.259016,Trunk
Franklin Line,1,5,Plimptonville,42.159123,-71.236125,Trunk
Franklin Line,1,6,Windsor Gardens,42.172192,-71.220704,Trunk
Franklin Line,1,7,Norwood Central,42.190776,-71.199748,Trunk
Franklin Line,1,8,Norwood Depot,42.195668,-71.196784,Trunk
Franklin Line,1,9,Islington,42.220714,-71.183406,Trunk
Franklin Line,1,10,Dedham Corp Center,42.225896,-71.173806,Trunk
Franklin Line,1,11,Endicott,42.232881,-71.160413,Trunk
Franklin Line,1,12,Readville,42.237750,-71.132376,Trunk
Franklin Line,1,13,Hyde Park,42.255121,-71.125022,Primary
Franklin Line,1,13,Fairmount,42.253638,-71.119270,Secondary
Franklin Line,1,14,Ruggles,42.335545,-71.090524,Primary
Franklin Line,1,14,Morton Street,42.280994,-71.085475,Secondary
Franklin Line,1,15,Uphams Corner,42.318670,-71.069072,Secondary
Franklin Line,1,15,Back Bay,42.347158,-71.075769,Primary
Franklin Line,1,16,South Station,42.352614,-71.055364,Trunk
Greenbush Line,1,1,Greenbush,42.178100,-70.746200,Trunk
Greenbush Line,1,2,North Scituate,42.219700,-70.787700,Trunk
Greenbush Line,1,3,Cohasset,42.242400,-70.837000,Trunk
Greenbush Line,1,4,Nantasket Junction,42.245200,-70.869800,Trunk
Greenbush Line,1,5,West Hingham,42.236700,-70.903100,Trunk
Greenbush Line,1,6,East Weymouth,42.219100,-70.921400,Trunk
Greenbush Line,1,7,Weymouth Landing/ East Braintree,42.220800,-70.968200,Trunk
Greenbush Line,1,8,Quincy Center,42.250862,-71.004843,Trunk
Greenbush Line,1,9,JFK/UMASS,42.321123,-71.052555,Trunk
Greenbush Line,1,10,South Station,42.352614,-71.055364,Trunk
Haverhill Line,1,1,Haverhill,42.772684,-71.085962,Trunk
Haverhill Line,1,2,Bradford,42.768899,-71.085998,Trunk
Haverhill Line,1,3,Lawrence,42.70185,-71.151967,Trunk
Haverhill Line,1,4,Andover,42.657798,-71.144513,Trunk
Haverhill Line,1,5,Ballardvale,42.626449,-71.159653,Trunk
Haverhill Line,1,6,North Wilmington,42.568462,-71.159724,Trunk
Haverhill Line,1,7,Wilmington,42.546368,-71.173569,Secondary
Haverhill Line,1,8,Anderson/ Woburn,42.518082,-71.138650,Secondary
Haverhill Line,1,9,Winchester Center,42.452650,-71.137041,Secondary
Haverhill Line,1,9,Reading,42.521480,-71.107440,Primary
Haverhill Line,1,10,Wedgemere,42.445284,-71.140909,Secondary
Haverhill Line,1,10,Wakefield,42.501811,-71.075000,Primary
Haverhill Line,1,11,Greenwood,42.483473,-71.067233,Primary
Haverhill Line,1,11,West Medford,42.421184,-71.132468,Secondary
Haverhill Line,1,12,Melrose Highlands,42.468793,-71.068270,Primary
Haverhill Line,1,13,Melrose Cedar Park,42.459128,-71.069448,Primary
Haverhill Line,1,14,Wyoming Hill,42.452097,-71.069518,Primary
Haverhill Line,1,15,Malden Center,42.426407,-71.074227,Primary
Haverhill Line,1,16,North Station,42.365551,-71.061251,Trunk
Kingston/Plymouth Line,1,2,Plymouth,41.981184,-70.692514,Secondary
Kingston/Plymouth Line,1,2,Kingston,41.978548,-70.720315,Primary
Kingston/Plymouth Line,1,3,Halifax,42.012867,-70.820832,Trunk
Kingston/Plymouth Line,1,4,Hanson,42.043262,-70.881553,Trunk
Kingston/Plymouth Line,1,5,Whitman,42.083563,-70.923204,Trunk
Kingston/Plymouth Line,1,6,Abington,42.108034,-70.935296,Trunk
Kingston/Plymouth Line,1,7,South Weymouth,42.153747,-70.952490,Trunk
Kingston/Plymouth Line,1,14,Braintree,42.208550,-71.000850,Trunk
Kingston/Plymouth Line,1,15,Quincy Center,42.250862,-71.004843,Trunk
